2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
2.74E+12,2.96E+12,3.25E+12,3.58E+12,3.96E+12,4.39E+12,4.97E+12,5.70E+12,6.28E+12,6.82E+12,7.52E+12,8.20E+12,8.91E+12,9.54E+12,1.03E+13,1.10E+13,1.18E+13,1.26E+13,1.34E+13,1.43E+13,1.45E+13,1.57E+13
1.18E+12,1.29E+12,1.42E+12,1.65E+12,1.96E+12,2.30E+12,2.71E+12,3.31E+12,4.10E+12,4.90E+12,5.80E+12,6.78E+12,8.01E+12,9.19E+12,1.02E+13,1.09E+13,1.14E+13,1.21E+13,1.34E+13,1.45E+13,1.48E+13,1.68E+13
4.41E+11,5.10E+11,5.74E+11,6.97E+11,8.75E+11,1.04E+12,1.31E+12,1.74E+12,2.31E+12,2.55E+12,3.11E+12,3.76E+12,4.17E+12,4.62E+12,4.97E+12,5.09E+12,5.05E+12,5.56E+12,6.24E+12,6.28E+12,6.56E+12,8.11E+12
2917.24253,3208.229957,3532.081651,3938.730274,4427.131003,5056.404724,5842.778636,6818.923409,7581.453513,8305.760185,9254.779603,10292.94048,11168.6973,11872.49738,12480.33853,12897.50229,13483.37727,14243.53261,15495.54842,16652.0988,17189.28179,19338.23408
7942.069169,8716.682238,9506.20312,10666.1002,12486.94411,14368.03172,16737.99597,20494.37726,24100.20819,26179.53996,30807.93268,36277.13632,39771.37281,43496.61318,46911.71873,49922.32676,53782.99739,59592.25109,65533.7427,70077.69179,71828.14825,80975.79229
3.68E+12,4.08E+12,4.52E+12,5.07E+12,5.74E+12,6.59E+12,7.66E+12,8.99E+12,1.00E+13,1.11E+13,1.24E+13,1.38E+13,1.51E+13,1.62E+13,1.71E+13,1.78E+13,1.87E+13,1.99E+13,2.17E+13,2.34E+13,2.43E+13,2.73E+13
1.00E+13,1.11E+13,1.22E+13,1.37E+13,1.62E+13,1.87E+13,2.19E+13,2.70E+13,3.19E+13,3.49E+13,4.12E+13,4.88E+13,5.39E+13,5.93E+13,6.44E+13,6.89E+13,7.46E+13,8.32E+13,9.19E+13,9.87E+13,1.01E+14,1.14E+14
0.222976025,0.210694613,0.206479807,0.240730804,0.188259232,0.13957176,0.138645374,0.18297084,0.225590048,0.199485034,0.188542378,0.164238961,0.141167495,0.125329532,0.14192318,0.096416401,0.103775915,0.120318647,0.096615393,0.086889129,0.084906423,
58.13055751,59.32051877,59.67768707,61.23120332,65.4879921,68.04447583,70.71627579,76.19656546,82.13635141,81.96424835,87.60451995,94.67918456,96.88636235,98.98237288,100.0029442,100,101.407346,105.6995965,109.3988156,110.8064506,111.3510071,116.2190359
1.92E+11,2.39E+11,2.92E+11,3.79E+11,4.73E+11,5.43E+11,7.01E+11,9.59E+11,1.23E+12,1.40E+12,1.59E+12,1.66E+12,1.95E+12,2.03E+12,2.25E+12,2.15E+12,2.11E+12,2.39E+12,2.51E+12,2.44E+12,2.41E+12,
9.473155504,10.97397745,12.5559036,11.55903448,10.88131279,12.92667878,14.60732732,15.19807664,6.339719146,12.90106681,8.715764971,4.835714953,10.24957545,5.952264117,8.664129062,6.971529746,8.209598022,6.844109965,4.001988959,4.697640815,0.044603591,
2.65E+11,3.15E+11,3.72E+11,4.75E+11,6.18E+11,7.24E+11,9.23E+11,1.24E+12,1.63E+12,1.67E+12,1.99E+12,2.21E+12,2.35E+12,2.41E+12,2.60E+12,2.43E+12,2.39E+12,2.69E+12,2.85E+12,2.77E+12,2.74E+12,
10200545409,10566425900,10813007884,11319567017,12471272527,13670522578,15178061590,18158058319,23093751233,25450105799,29657711723,36467231568,41251849176,46256458478,50757708431,53924227100,54591473036,58674329229,64634058835,66106163055,69310506780,
698144184.1,569315083.5,897802853.3,1202207360,3094069142,8693921971,20929943005,49350787995,67719438524,31535291386,85936608810,1.30E+11,41396805913,34965037969,25106825047,16961960400,15721875202,17326500459,20496001653,10336644486,34737340195,
21480000000,23628000000,26134000000,29535000000,34905000000,40633000000,49225000000,63724000000,82698000000,91111000000,1.08E+11,1.34E+11,1.52E+11,1.70E+11,1.88E+11,1.97E+11,2.00E+11,2.20E+11,2.47E+11,2.54E+11,2.61E+11,
